"stf","etf","countallrows","stfe","etfe","duration","tps","minstarttime","maxendtime","avglatency","maxlatency","minlatency","stddevlatency","variancelatency","maxinvalidcounter","maxexististingcounter","maxerrorcounter","maxvalidcounter","cumulativecount","run_id"
"2022-09-15 15:34:16+02","2022-09-15 15:39:24+02",10551,1663248856,1663249164,308,34.256493506493506,1.4189822605940868e+16,1.4190135303103892e+16,8.369514737939527,19.74,4.02,2.6349183628181767,6.94279477871642,0,0,0,2711,1,"4000000-cordaConfiguration-donothing-doNothing-40-flalv-rn-1-final16peers-repid-1-cordaenterprise-rl-opti"
"2022-09-17 18:14:36+02","2022-09-17 18:20:24+02",32,1663431276,1663431624,348,0.09195402298850575,1.4372243248769784e+16,1.437259086861078e+16,279.6084375,342.42,200.46,48.783232584063214,2379.8037813508067,569,0,0,32,1,"4000000-cordaConfiguration-donothing-doNothing-40-flalv-rn-1-final16peers-repid-1-cordaos-rl-opti"
"2022-09-15 16:53:47+02","2022-09-15 16:58:53+02",10478,1663253627,1663253933,306,34.24183006535948,1.419459376132538e+16,1.4194904822687378e+16,8.652203664821537,25.6,3.73,3.2668347522048258,10.672209298213167,0,0,0,2724,1,"4000000-cordaConfiguration-donothing-doNothing-40-flalv-rn-1-final16peers-repid-2-cordaenterprise-rl-opti"
"2022-09-17 19:30:29+02","2022-09-17 19:36:19+02",31,1663435829,1663436179,350,0.08857142857142856,1.4376796028100228e+16,1.4377146120700852e+16,285.85870967741937,345.09,214.49,43.66934460556478,1907.01165827957,570,0,0,31,1,"4000000-cordaConfiguration-donothing-doNothing-40-flalv-rn-1-final16peers-repid-2-cordaos-rl-opti"
"2022-09-15 18:12:39+02","2022-09-15 18:17:47+02",10481,1663258359,1663258667,308,34.02922077922078,1.419932584463896e+16,1.4199638416261776e+16,8.872561778456255,20.96,3.84,2.9525752395906104,8.71770054544355,0,0,0,2766,1,"4000000-cordaConfiguration-donothing-doNothing-40-flalv-rn-1-final16peers-repid-3-cordaenterprise-rl-opti"
"2022-09-17 20:52:18+02","2022-09-17 20:58:07+02",32,1663440738,1663441087,349,0.09169054441260745,1.4381704886515202e+16,1.4382053627901256e+16,283.2621875,343.54,192.68,49.093062563204164,2410.128791834678,575,0,0,32,1,"4000000-cordaConfiguration-donothing-doNothing-40-flalv-rn-1-final16peers-repid-3-cordaos-rl-opti"
"2022-09-15 16:00:28+02","2022-09-15 16:06:26+02",807,1663250428,1663250786,358,2.2541899441340782,1.419139472218032e+16,1.4191758207052308e+16,148.0235811648079,218,67.72,31.693292065881113,1004.4647619732428,83,0,0,238,1,"4000000-cordaConfiguration-keyvalue-get-40-flalv-rn-1-final16peers-repid-1-cordaenterprise-rl-opti"
"2022-09-15 17:19:03+02","2022-09-15 17:25:16+02",798,1663255143,1663255516,373,2.1394101876675604,1.4196109807187224e+16,1.41964828104452e+16,155.0562155388471,215.65,65.94,35.23867887060617,1241.764488545706,76,0,0,241,1,"4000000-cordaConfiguration-keyvalue-get-40-flalv-rn-1-final16peers-repid-2-cordaenterprise-rl-opti"
"2022-09-15 18:37:42+02","2022-09-15 18:43:53+02",771,1663259862,1663260233,371,2.078167115902965,1.4200828642403816e+16,1.4201204895052592e+16,160.92415045395592,231.7,81,32.979634213878576,1087.6562728812303,74,0,0,239,1,"4000000-cordaConfiguration-keyvalue-get-40-flalv-rn-1-final16peers-repid-3-cordaenterprise-rl-opti"
"2022-09-15 15:53:01+02","2022-09-15 15:58:37+02",3621,1663249981,1663250317,336,10.776785714285714,1.4190948264724376e+16,1.4191284750275808e+16,37.788138635735976,90.55,8.96,21.46126264258289,460.5857942139239,0,0,0,937,1,"4000000-cordaConfiguration-keyvalue-set-40-flalv-rn-1-final16peers-repid-1-cordaenterprise-rl-opti"
"2022-09-15 17:11:48+02","2022-09-15 17:17:24+02",3562,1663254708,1663255044,336,10.601190476190476,1.4195675419447314e+16,1.4196010923684418e+16,32.54819202695115,76.15,9.23,16.23141829404272,263.45893983618464,0,0,0,927,1,"4000000-cordaConfiguration-keyvalue-set-40-flalv-rn-1-final16peers-repid-2-cordaenterprise-rl-opti"
