"stf","etf","countallrows","stfe","etfe","duration","tps","minstarttime","maxendtime","avglatency","maxlatency","minlatency","stddevlatency","variancelatency","maxinvalidcounter","maxexististingcounter","maxerrorcounter","maxvalidcounter","cumulativecount","run_id","cid"
"2022-07-19 11:35:59+02","2022-07-19 11:40:13+02",76234,1658223359,1658223613,254,300.13385826771656,9164331374210240.0,9164585029502114.0,17.869509667602426,25.74,2.73,5.573920202762325,31.068586426762003,28499,0,0,76234,1,"4000000-fabricConfiguration-sb-sendPayment-40-flalv-rn-1-hetzner-repid-4-fabric-rl-400-mm-2000","client-20000000-1-25-49-1-6400-12799"
"2022-07-19 23:17:52+02","2022-07-19 23:23:12+02",17480,1658265472,1658265792,320,54.625,9206443918391142.0,9206764299287328.0,17.45997482837525,25.37,6.99,4.15632306622072,17.27502143079841,0,0,0,17480,1,"4000000-quorumConfiguration-sb-createAccount-40-flalv-rn-1-hetzner-repid-7-quorum-rl-400-ib-5","client-20000000-1-25-49-1-6400-12799"
"2022-07-19 23:28:11+02","2022-07-19 23:28:19+02",224,1658266091,1658266099,8,28,9207058390246552.0,9207065956530784.0,7.163794642857142,7.45,6.7,0.15124112179511512,0.02287387692184484,19382,0,0,224,1,"4000000-quorumConfiguration-sb-sendPayment-40-flalv-rn-1-hetzner-repid-7-quorum-rl-400-ib-5","client-10000000-0-0-24-0-0-6399"
"2022-07-19 10:53:24+02","2022-07-19 10:58:33+02",30039,1658220804,1658221113,309,97.2135922330097,9161770516446744.0,9162080073030052.0,1.2470361862911503,10.52,0.55,0.4859694336282709,0.23616629042098236,74,0,0,30039,1,"4000000-fabricConfiguration-sb-sendPayment-40-flalv-rn-1-hetzner-repid-4-fabric-rl-100-mm-500","client-10000000-0-0-24-0-0-6399"
"2022-07-24 14:01:44+02","2022-07-24 14:07:15+02",1400,1658664104,1658664435,331,4.229607250755287,9605071257576974.0,9605401829291180.0,208.40091428571577,325.07,107.64,67.95002504958029,4617.205904238589,60233,0,0,1400,1,"4000000-sawtoothConfiguration-sb-createAccount-40-flalv-rn-1-hetzner-repid-7-sawtooth-rl-200-notpbpc-100-nobpc-1-maxbtperbl-100000-notppc-100-cpbftbpd-10","client-10000000-0-0-24-0-0-6399"
"2022-07-19 10:31:05+02","2022-07-19 10:36:05+02",15039,1658219465,1658219765,300,50.13,9160437062978452.0,9160737161496384.0,0.37304741006715897,0.64,0.11,0.1441636286601992,0.0207831518284758,26,0,0,15039,1,"4000000-fabricConfiguration-sb-balance-40-flalv-rn-1-hetzner-repid-4-fabric-rl-50-mm-100","client-40000000-3-75-99-3-19200-25599"
"2022-07-19 10:53:24+02","2022-07-19 10:58:33+02",30038,1658220804,1658221113,309,97.21035598705501,9161775502090548.0,9162085053339756.0,1.2505060257007716,10.52,0.54,0.47995667329820274,0.2303584082434777,76,0,0,30038,1,"4000000-fabricConfiguration-sb-sendPayment-40-flalv-rn-1-hetzner-repid-4-fabric-rl-100-mm-500","client-20000000-1-25-49-1-6400-12799"
"2022-07-18 19:44:30+02","2022-07-18 19:48:06+02",8300,1658166270,1658166486,216,38.425925925925924,9107237218698662.0,9107453131150580.0,12.57179036144581,24.91,3.58,5.133099029894945,26.34870565070842,8399,0,0,8300,1,"4000000-grapheneConfiguration-sb-balance-40-flalv-rn-1-hetzner-repid-4-graphene-rl-50-bi-5-opt-100-notpc-1","client-10000000-0-0-24-0-0-6399"
"2022-07-19 11:49:58+02","2022-07-19 11:55:28+02",112754,1658224198,1658224528,330,341.6787878787879,9165169808718800.0,9165499860767726.0,44.52245844936776,68.76,3.12,19.435993894051073,377.7578586495906,7613,0,0,112754,1,"4000000-fabricConfiguration-sb-balance-40-flalv-rn-1-hetzner-repid-4-fabric-rl-400-mm-2000","client-40000000-3-75-99-3-19200-25599"
"2022-07-19 19:26:24+02","2022-07-19 19:29:39+02",14675,1658251584,1658251779,195,75.25641025641026,9192550701101704.0,9192746137839672.0,21.85930153321981,33.99,8.07,5.538806899383638,30.678381868659784,12793,0,0,14675,1,"4000000-quorumConfiguration-keyvalue-get-40-flalv-rn-1-hetzner-repid-4-quorum-rl-100-ib-10","client-30000000-2-50-74-2-12800-19199"
