"stf","etf","countallrows","stfe","etfe","duration","tps","minstarttime","maxendtime","avglatency","maxlatency","minlatency","stddevlatency","variancelatency","maxinvalidcounter","maxexististingcounter","maxerrorcounter","maxvalidcounter","cumulativecount","run_id"
"2022-07-23 13:07:26+02","2022-07-23 13:12:18+02",16200,1658574446,1658574738,292,55.47945205479452,9515413285953244.0,9515709460826430.0,162.9691882716059,272.06,7,60.64091802497237,3677.320938911419,58077,0,0,4900,1,"4000000-sawtoothConfiguration-donothing-doNothing-40-flalv-rn-1-hetzner-repid-4-sawtooth-rl-200-notpbpc-100-nobpc-1-maxbtperbl-100000-notppc-100-cpbftbpd-10"
"2022-07-23 13:47:14+02","2022-07-23 13:52:47+02",11000,1658576834,1658577167,333,33.033033033033036,9517800493275696.0,9518138918414984.0,187.76225545454452,321.44,5.44,73.25797721624075,5366.731225815248,59197,0,0,3300,1,"4000000-sawtoothConfiguration-keyvalue-set-40-flalv-rn-1-hetzner-repid-4-sawtooth-rl-200-notpbpc-100-nobpc-1-maxbtperbl-100000-notppc-100-cpbftbpd-5"
"2022-07-19 18:31:57+02","2022-07-19 18:32:13+02",759,1658248317,1658248333,16,47.4375,9189283714715884.0,9189304981342528.0,10.39085638998682,16.17,6.56,4.222128185645764,17.826366416024396,25070,0,0,314,1,"4000000-quorumConfiguration-keyvalue-set-40-flalv-rn-1-hetzner-repid-4-quorum-rl-400-ib-1"
"2022-07-18 22:31:48+02","2022-07-18 22:33:07+02",10000,1658176308,1658176387,79,126.58227848101266,9117274947510896.0,9117353535356224.0,49.25443000000075,76.13,11.52,15.20517982808687,231.19749360445985,26599,0,0,10000,1,"4000000-grapheneConfiguration-sb-balance-40-flalv-rn-1-hetzner-repid-4-graphene-rl-400-bi-10-opt-100-notpc-1"
"2022-07-19 23:28:11+02","2022-07-19 23:28:33+02",1083,1658266091,1658266113,22,49.22727272727273,9207058390246552.0,9207084577874592.0,14.307553093259456,21.07,6.7,6.191049768970062,38.32909724186426,23173,0,0,418,1,"4000000-quorumConfiguration-sb-sendPayment-40-flalv-rn-1-hetzner-repid-7-quorum-rl-400-ib-5"
"2022-07-19 10:16:29+02","2022-07-19 10:21:39+02",60150,1658218589,1658218899,310,194.03225806451613,9159556049196078.0,9159871207028328.0,0.38669293433084084,10.11,0.11,0.3140103762498558,0.09860251639257599,0,0,0,15039,1,"4000000-fabricConfiguration-sb-createAccount-40-flalv-rn-1-hetzner-repid-4-fabric-rl-50-mm-100"
"2022-07-20 09:50:43+02","2022-07-20 09:55:35+02",69560,1658303443,1658303735,292,238.21917808219177,9244409598115940.0,9244705662819756.0,15.953949827487246,26.27,3.07,4.489768107394127,20.15801765817344,3032,0,0,17768,1,"4000000-quorumConfiguration-sb-sendPayment-40-flalv-rn-1-hetzner-repid-8-quorum-rl-400-ib-5"
"2022-07-18 22:19:47+02","2022-07-18 22:20:26+02",3200,1658175587,1658175626,39,82.05128205128206,9116553851592144.0,9116592468407804.0,35.3923750000001,38.57,29.85,2.430592374381877,5.90777929040333,21795,0,0,3200,1,"4000000-grapheneConfiguration-sb-sendPayment-40-flalv-rn-1-hetzner-repid-4-graphene-rl-400-bi-10-opt-100-notpc-1"
"2022-07-19 11:35:59+02","2022-07-19 11:41:15+02",355796,1658223359,1658223675,316,1125.9367088607594,9164326395030396.0,9164646951317208.0,18.258955440758932,57.53,2.58,5.209380284396062,27.137642947454392,28499,0,0,104172,1,"4000000-fabricConfiguration-sb-sendPayment-40-flalv-rn-1-hetzner-repid-4-fabric-rl-400-mm-2000"
"2022-07-19 23:17:52+02","2022-07-19 23:23:12+02",69133,1658265472,1658265792,320,216.040625,9206438927814996.0,9206764299287328.0,15.389480421795614,25.37,6.38,4.484680767091708,20.112361582722272,0,0,0,17626,1,"4000000-quorumConfiguration-sb-createAccount-40-flalv-rn-1-hetzner-repid-7-quorum-rl-400-ib-5"
