"cnt","sumnof","sumnoa","minbn","maxbn","received_time","run_id"
9,0,0,216,218,"2022-07-19 22:43:41+02","4000000-quorumConfiguration-sb-sendPayment-40-flalv-rn-1-hetzner-repid-6-quorum-rl-400-ib-5"
2,4000,4000,27,27,"2022-07-19 12:14:31+02","4000000-fabricConfiguration-sb-createAccount-40-flalv-rn-1-hetzner-repid-4-fabric-rl-100-mm-2000"
2,400,400,34,34,"2022-07-23 13:10:09+02","4000000-sawtoothConfiguration-donothing-doNothing-40-flalv-rn-1-hetzner-repid-4-sawtooth-rl-200-notpbpc-100-nobpc-1-maxbtperbl-100000-notppc-100-cpbftbpd-10"
8,800,800,1643,1644,"2022-07-19 10:34:41+02","4000000-fabricConfiguration-sb-balance-40-flalv-rn-1-hetzner-repid-4-fabric-rl-50-mm-100"
4,2000,2000,547,547,"2022-07-19 11:02:20+02","4000000-fabricConfiguration-sb-balance-40-flalv-rn-1-hetzner-repid-4-fabric-rl-100-mm-500"
4,4985,4985,68,70,"2022-07-19 21:01:13+02","4000000-quorumConfiguration-sb-createAccount-40-flalv-rn-1-hetzner-repid-4-quorum-rl-400-ib-5"
3,0,0,209,211,"2022-07-19 21:12:56+02","4000000-quorumConfiguration-sb-sendPayment-40-flalv-rn-1-hetzner-repid-4-quorum-rl-400-ib-5"
4,8000,8000,300,300,"2022-07-19 11:38:08+02","4000000-fabricConfiguration-sb-sendPayment-40-flalv-rn-1-hetzner-repid-4-fabric-rl-400-mm-2000"
8,800,800,617,618,"2022-07-19 10:23:28+02","4000000-fabricConfiguration-sb-sendPayment-40-flalv-rn-1-hetzner-repid-4-fabric-rl-50-mm-100"
4,2000,2000,129,129,"2022-07-19 10:48:29+02","4000000-fabricConfiguration-sb-createAccount-40-flalv-rn-1-hetzner-repid-4-fabric-rl-100-mm-500"
4,400,400,209,209,"2022-07-24 11:58:55+02","4000000-sawtoothConfiguration-sb-balance-40-flalv-rn-1-hetzner-repid-6-sawtooth-rl-200-notpbpc-100-nobpc-1-maxbtperbl-100000-notppc-100-cpbftbpd-10"
4,800,800,65,65,"2022-07-23 15:42:50+02","4000000-sawtoothConfiguration-keyvalue-get-40-flalv-rn-1-hetzner-repid-6-sawtooth-rl-400-notpbpc-100-nobpc-1-maxbtperbl-100000-notppc-100-cpbftbpd-2"
1,994,994,107,107,"2022-07-20 09:44:08+02","4000000-quorumConfiguration-sb-createAccount-40-flalv-rn-1-hetzner-repid-8-quorum-rl-400-ib-5"
3,6000,6000,420,421,"2022-07-19 11:50:05+02","4000000-fabricConfiguration-sb-balance-40-flalv-rn-1-hetzner-repid-4-fabric-rl-400-mm-2000"
3,300,300,108,108,"2022-07-24 10:51:33+02","4000000-sawtoothConfiguration-sb-sendPayment-40-flalv-rn-1-hetzner-repid-4-sawtooth-rl-200-notpbpc-100-nobpc-1-maxbtperbl-100000-notppc-100-cpbftbpd-10"
4,2000,2000,251,251,"2022-07-19 10:53:29+02","4000000-fabricConfiguration-sb-sendPayment-40-flalv-rn-1-hetzner-repid-4-fabric-rl-100-mm-500"
1,2000,2000,83,83,"2022-07-19 11:26:57+02","4000000-fabricConfiguration-sb-createAccount-40-flalv-rn-1-hetzner-repid-4-fabric-rl-400-mm-2000"
3,0,0,219,221,"2022-07-19 23:31:29+02","4000000-quorumConfiguration-sb-sendPayment-40-flalv-rn-1-hetzner-repid-7-quorum-rl-400-ib-5"
