"stf","etf","countallrows","stfe","etfe","duration","tps","minstarttime","maxendtime","avglatency","maxlatency","minlatency","stddevlatency","variancelatency","maxinvalidcounter","maxexististingcounter","maxerrorcounter","maxvalidcounter","cumulativecount","run_id"
"2022-07-18 15:26:50+02","2022-07-18 15:26:53+02",52,1658150810,1658150813,3,17.333333333333332,9091776829144184.0,9091785006729328.0,2.8715384615384605,3.58,2.05,0.37027485612709354,0.1371034690799398,0,0,0,2936,1,"4000000-cordaConfiguration-donothing-doNothing-40-flalv-rn-1-hetzner-repid-4-cordaenterprise-rl-10"
"2022-07-18 15:26:50+02","2022-07-18 15:26:54+02",52,1658150810,1658150814,4,13,9091776829256868.0,9091786360079924.0,3.3484615384615375,4.17,2.64,0.5055859912716488,0.2556171945701357,0,0,0,2986,1,"4000000-cordaConfiguration-donothing-doNothing-40-flalv-rn-1-hetzner-repid-4-cordaenterprise-rl-10"
"2022-07-18 15:26:51+02","2022-07-18 15:26:55+02",39,1658150811,1658150815,4,9.75,9091778424521760.0,9091787307070134.0,3.0464102564102564,3.48,2.39,0.25749284281813367,0.0663025641025641,0,0,0,3016,1,"4000000-cordaConfiguration-donothing-doNothing-40-flalv-rn-1-hetzner-repid-4-cordaenterprise-rl-10"
"2022-07-18 15:26:51+02","2022-07-18 15:26:56+02",39,1658150811,1658150816,5,7.8,9091779325891530.0,9091788342107496.0,3.2284615384615374,4.31,2.52,0.36621491002400025,0.1341133603238866,0,0,0,2883,1,"4000000-cordaConfiguration-donothing-doNothing-40-flalv-rn-1-hetzner-repid-4-cordaenterprise-rl-10"
"2022-07-18 15:26:52+02","2022-07-18 15:26:57+02",44,1658150812,1658150817,5,8.8,9091780025918218.0,9091789368472544.0,2.9595454545454545,3.4,2.51,0.1992655648316979,0.039706765327695605,0,0,0,2838,1,"4000000-cordaConfiguration-donothing-doNothing-40-flalv-rn-1-hetzner-repid-4-cordaenterprise-rl-10"
"2022-07-18 15:26:54+02","2022-07-18 15:26:58+02",56,1658150814,1658150818,4,14,9091781324712796.0,9091790389167100.0,2.8883928571428568,3.73,2.35,0.32995744511135916,0.10887191558441559,0,0,0,2979,1,"4000000-cordaConfiguration-donothing-doNothing-40-flalv-rn-1-hetzner-repid-4-cordaenterprise-rl-10"
"2022-07-18 15:26:55+02","2022-07-18 15:26:59+02",57,1658150815,1658150819,4,14.25,9091782725824412.0,9091791421531576.0,2.458947368421052,3.06,1.96,0.23685954405305804,0.056102443609022536,0,0,0,3012,1,"4000000-cordaConfiguration-donothing-doNothing-40-flalv-rn-1-hetzner-repid-4-cordaenterprise-rl-10"
"2022-07-18 15:26:56+02","2022-07-18 15:27:00+02",58,1658150816,1658150820,4,14.5,9091784024870528.0,9091792386155592.0,1.9820689655172417,2.45,1.57,0.21704360157552674,0.047107924984875996,0,0,0,2954,1,"4000000-cordaConfiguration-donothing-doNothing-40-flalv-rn-1-hetzner-repid-4-cordaenterprise-rl-10"
"2022-07-18 15:26:57+02","2022-07-18 15:27:01+02",73,1658150817,1658150821,4,18.25,9091785724400854.0,9091793412142272.0,1.330684931506849,1.86,0.79,0.25272035910997714,0.06386757990867581,0,0,0,2954,1,"4000000-cordaConfiguration-donothing-doNothing-40-flalv-rn-1-hetzner-repid-4-cordaenterprise-rl-10"
"2022-07-18 15:26:59+02","2022-07-18 15:27:02+02",70,1658150819,1658150822,3,23.333333333333332,9091787524235054.0,9091794407824374.0,0.5261428571428572,1.37,0.17,0.24108025518692688,0.05811968944099379,0,0,0,2917,1,"4000000-cordaConfiguration-donothing-doNothing-40-flalv-rn-1-hetzner-repid-4-cordaenterprise-rl-10"
"2022-07-18 15:27:01+02","2022-07-18 15:27:03+02",40,1658150821,1658150823,2,20,9091789324059516.0,9091795384466316.0,0.15950000000000006,0.19,0.14,0.009594335935919804,9.205128205128215e-05,0,0,0,3009,1,"4000000-cordaConfiguration-donothing-doNothing-40-flalv-rn-1-hetzner-repid-4-cordaenterprise-rl-10"
"2022-07-18 15:27:02+02","2022-07-18 15:27:04+02",40,1658150822,1658150824,2,20,9091790325021444.0,9091796401365846.0,0.21250000000000005,0.37,0.15,0.05943106327545622,0.003532051282051281,0,0,0,2952,1,"4000000-cordaConfiguration-donothing-doNothing-40-flalv-rn-1-hetzner-repid-4-cordaenterprise-rl-10"
"2022-07-18 15:27:03+02","2022-07-18 15:27:05+02",36,1658150823,1658150825,2,18,9091791324540784.0,9091797364886654.0,0.17305555555555557,0.25,0.14,0.027549378467912014,0.0007589682539682541,0,0,0,2980,1,"4000000-cordaConfiguration-donothing-doNothing-40-flalv-rn-1-hetzner-repid-4-cordaenterprise-rl-10"
"2022-07-18 15:27:04+02","2022-07-18 15:27:06+02",44,1658150824,1658150826,2,22,9091792224234780.0,9091798394719140.0,0.1972727272727273,0.31,0.14,0.05195542080022586,0.002699365750528542,0,0,0,2860,1,"4000000-cordaConfiguration-donothing-doNothing-40-flalv-rn-1-hetzner-repid-4-cordaenterprise-rl-10"
